notes,commentaires 
1.0 out of 5 stars,bought present sister turned nightmare
4.0 out of 5 stars,real rating would stars could give that used week writing review ad describes looks works like new not quite glass back fine couple obvious scratches home key trim top aren't awful still looks pretty good don't really care pointing discrepancy i'm also little concerned usb port worn doesn't connect properly using couple cables work fine devices pay close attention charging cable get hooked right far not real problem unless gets worse switching phones not effortless they'd like believe i'm att moving get new sim card different size att tech installed free asked initialization procedure seller explains tube stated wasn't necessary would automatically believe since started getting texts calls right away problem was unlocked verizon also started looking updates i'm assuming verizon could longer access effectively blocked functions kept futzing it restarts getting settings could lock finally got working right still not sure how maybe fixed itself used samsung's smart switch transfer data apps worked reasonably well somehow skipped apps compete samsung's bloatware imagine that battery life seems good i'm fairly light user getting couple days charge careful summing up not quite brand new decent enough looking aren't anal took hours work get functioning right actually better worse expected nice money especially compared price new one got years refurbished still works although getting quirky  one lasts long i'll complaints
1.0 out of 5 stars,so not getting charger pair headphones plain cardboard box came in took back jamaica gsm unlocked asks network unlock code meaning not unlocked bought gsm unlocked devices work perfectly jamaica not one requesting unlock code att told this device isn't eligible unlocked payments not paidi want money back deter anyone buying device seller
1.0 out of 5 stars,failed less two months battery losing charge fast screen started flickering started automatically deleting data without user anything cause it
5.0 out of 5 stars,wife's galaxy sbought mine great phone carrier required unlocked gsm phone one it's labeled verizon back booted perfectly got connected router email systems ease days later got sim card installed cell got stuck trying work processand sat spinning said processingplease wait minutes did many timesafter minutes trying several fixes customer service rep thought perhaps factory reset not master reset problem  done everything worked perfectly soshould happen kiss electronicswhen buy one kiss electronics did keep scenario mind  not know kiss electronic's fault samsung's case cell master reset  get cell anything it would suggest master reset suresafe
1.0 out of 5 stars,purchased samsung touted amazon's choice refurbisher thought would get good working order not fraught preexisting conditions first problem saw unpacking glass cover camera broken would take pictures don't take lots pictures decided keep even issue need business didn't want take week delay returning getting another would takethe second problem became quickly apparent didn't change battery refurbishment process even first month using phone could seldom get day charge not huge internet surfer even one spend hour day use keeping emails and millenial standards low level texting read several articles went removed disabled every app could order make sure problem wasn't sort background use battery even that situation continued deteriorate point battery lasting hours got external battery kept connected order able use phone again painfully obvious refurbisher neither change battery even checked see battery shot reselling phonethe final straw now september months purchasing phone display gone completely unuseable spending weekend move stuff old samsung order get business order another phone course warranty protection phone even covering monthsthe bottom line don't buy refurbished amazon phone find lesser expensive afford new phones returned problem amazon simply selling asis unsuspecting customers
2.0 out of 5 stars,purchased refurbished galaxy son's birthday arrived excellent physical condition really beautiful piece hardware however immediately realized battery charging issue basically would fully charge safemode safemode would quickly run activity unfortunately appears common issue samsung phones updating android oreo made sure apps date recalibrated battery meter implemented battery saving measures pointed samsung address issue samsung community no joy many posts concerning issue hope samsung finds fix soon otherwise great phonefortunately seller buyspry responsive refunded purchase means remedy exhausted not fault seller issue even brand new phones
1.0 out of 5 stars,not bother buying one these obviously not inspect properly able notice obvious screen defect withing hours owning phone caught never tried pass anyone first day got noticed top screen lighter bottom not notice already transferred data got new sim card figured would try get used instead going trouble getting new phone proved extremely annoying weeks volume button became stuck stuck safe mode infuriating won't able transfer everything new phone whole refurbished journey huge headache greatly regret trusting people actually got look function new
5.0 out of 5 stars,great phone indeed unlocked use ultra sim card issues came plastic wraps charger booklets which didn't read course initial setup mode tip first inserting sim card not insert memory chip hanged put sim chip removed memory card initial setup went ok could insert memory card reading it tip galaxy slot sim card memory chip opened pressing tiny hole don't think special key thin wire stick came phone asked one ultra shop marked verizon know difficult unlock unlocked ok fast delivery ps bought store buyspry
1.0 out of 5 stars,return wasn't actually unlocked full att bloatware well not work republic wireless
1.0 out of 5 stars,bought present sister turned nightmare
4.0 out of 5 stars,real rating would stars could give that used week writing review ad describes looks works like new not quite glass back fine couple obvious scratches home key trim top aren't awful still looks pretty good don't really care pointing discrepancy i'm also little concerned usb port worn doesn't connect properly using couple cables work fine devices pay close attention charging cable get hooked right far not real problem unless gets worse switching phones not effortless they'd like believe i'm att moving get new sim card different size att tech installed free asked initialization procedure seller explains tube stated wasn't necessary would automatically believe since started getting texts calls right away problem was unlocked verizon also started looking updates i'm assuming verizon could longer access effectively blocked functions kept futzing it restarts getting settings could lock finally got working right still not sure how maybe fixed itself used samsung's smart switch transfer data apps worked reasonably well somehow skipped apps compete samsung's bloatware imagine that battery life seems good i'm fairly light user getting couple days charge careful summing up not quite brand new decent enough looking aren't anal took hours work get functioning right actually better worse expected nice money especially compared price new one got years refurbished still works although getting quirky  one lasts long i'll complaints
1.0 out of 5 stars,so not getting charger pair headphones plain cardboard box came in took back jamaica gsm unlocked asks network unlock code meaning not unlocked bought gsm unlocked devices work perfectly jamaica not one requesting unlock code att told this device isn't eligible unlocked payments not paidi want money back deter anyone buying device seller
1.0 out of 5 stars,failed less two months battery losing charge fast screen started flickering started automatically deleting data without user anything cause it
5.0 out of 5 stars,wife's galaxy sbought mine great phone carrier required unlocked gsm phone one it's labeled verizon back booted perfectly got connected router email systems ease days later got sim card installed cell got stuck trying work processand sat spinning said processingplease wait minutes did many timesafter minutes trying several fixes customer service rep thought perhaps factory reset not master reset problem  done everything worked perfectly soshould happen kiss electronicswhen buy one kiss electronics did keep scenario mind  not know kiss electronic's fault samsung's case cell master reset  get cell anything it would suggest master reset suresafe
1.0 out of 5 stars,purchased samsung touted amazon's choice refurbisher thought would get good working order not fraught preexisting conditions first problem saw unpacking glass cover camera broken would take pictures don't take lots pictures decided keep even issue need business didn't want take week delay returning getting another would takethe second problem became quickly apparent didn't change battery refurbishment process even first month using phone could seldom get day charge not huge internet surfer even one spend hour day use keeping emails and millenial standards low level texting read several articles went removed disabled every app could order make sure problem wasn't sort background use battery even that situation continued deteriorate point battery lasting hours got external battery kept connected order able use phone again painfully obvious refurbisher neither change battery even checked see battery shot reselling phonethe final straw now september months purchasing phone display gone completely unuseable spending weekend move stuff old samsung order get business order another phone course warranty protection phone even covering monthsthe bottom line don't buy refurbished amazon phone find lesser expensive afford new phones returned problem amazon simply selling asis unsuspecting customers
2.0 out of 5 stars,purchased refurbished galaxy son's birthday arrived excellent physical condition really beautiful piece hardware however immediately realized battery charging issue basically would fully charge safemode safemode would quickly run activity unfortunately appears common issue samsung phones updating android oreo made sure apps date recalibrated battery meter implemented battery saving measures pointed samsung address issue samsung community no joy many posts concerning issue hope samsung finds fix soon otherwise great phonefortunately seller buyspry responsive refunded purchase means remedy exhausted not fault seller issue even brand new phones
1.0 out of 5 stars,not bother buying one these obviously not inspect properly able notice obvious screen defect withing hours owning phone caught never tried pass anyone first day got noticed top screen lighter bottom not notice already transferred data got new sim card figured would try get used instead going trouble getting new phone proved extremely annoying weeks volume button became stuck stuck safe mode infuriating won't able transfer everything new phone whole refurbished journey huge headache greatly regret trusting people actually got look function new
5.0 out of 5 stars,great phone indeed unlocked use ultra sim card issues came plastic wraps charger booklets which didn't read course initial setup mode tip first inserting sim card not insert memory chip hanged put sim chip removed memory card initial setup went ok could insert memory card reading it tip galaxy slot sim card memory chip opened pressing tiny hole don't think special key thin wire stick came phone asked one ultra shop marked verizon know difficult unlock unlocked ok fast delivery ps bought store buyspry
1.0 out of 5 stars,return wasn't actually unlocked full att bloatware well not work republic wireless
1.0 out of 5 stars,bought present sister turned nightmare
4.0 out of 5 stars,real rating would stars could give that used week writing review ad describes looks works like new not quite glass back fine couple obvious scratches home key trim top aren't awful still looks pretty good don't really care pointing discrepancy i'm also little concerned usb port worn doesn't connect properly using couple cables work fine devices pay close attention charging cable get hooked right far not real problem unless gets worse switching phones not effortless they'd like believe i'm att moving get new sim card different size att tech installed free asked initialization procedure seller explains tube stated wasn't necessary would automatically believe since started getting texts calls right away problem was unlocked verizon also started looking updates i'm assuming verizon could longer access effectively blocked functions kept futzing it restarts getting settings could lock finally got working right still not sure how maybe fixed itself used samsung's smart switch transfer data apps worked reasonably well somehow skipped apps compete samsung's bloatware imagine that battery life seems good i'm fairly light user getting couple days charge careful summing up not quite brand new decent enough looking aren't anal took hours work get functioning right actually better worse expected nice money especially compared price new one got years refurbished still works although getting quirky  one lasts long i'll complaints
1.0 out of 5 stars,so not getting charger pair headphones plain cardboard box came in took back jamaica gsm unlocked asks network unlock code meaning not unlocked bought gsm unlocked devices work perfectly jamaica not one requesting unlock code att told this device isn't eligible unlocked payments not paidi want money back deter anyone buying device seller
1.0 out of 5 stars,failed less two months battery losing charge fast screen started flickering started automatically deleting data without user anything cause it
5.0 out of 5 stars,wife's galaxy sbought mine great phone carrier required unlocked gsm phone one it's labeled verizon back booted perfectly got connected router email systems ease days later got sim card installed cell got stuck trying work processand sat spinning said processingplease wait minutes did many timesafter minutes trying several fixes customer service rep thought perhaps factory reset not master reset problem  done everything worked perfectly soshould happen kiss electronicswhen buy one kiss electronics did keep scenario mind  not know kiss electronic's fault samsung's case cell master reset  get cell anything it would suggest master reset suresafe
1.0 out of 5 stars,purchased samsung touted amazon's choice refurbisher thought would get good working order not fraught preexisting conditions first problem saw unpacking glass cover camera broken would take pictures don't take lots pictures decided keep even issue need business didn't want take week delay returning getting another would takethe second problem became quickly apparent didn't change battery refurbishment process even first month using phone could seldom get day charge not huge internet surfer even one spend hour day use keeping emails and millenial standards low level texting read several articles went removed disabled every app could order make sure problem wasn't sort background use battery even that situation continued deteriorate point battery lasting hours got external battery kept connected order able use phone again painfully obvious refurbisher neither change battery even checked see battery shot reselling phonethe final straw now september months purchasing phone display gone completely unuseable spending weekend move stuff old samsung order get business order another phone course warranty protection phone even covering monthsthe bottom line don't buy refurbished amazon phone find lesser expensive afford new phones returned problem amazon simply selling asis unsuspecting customers
2.0 out of 5 stars,purchased refurbished galaxy son's birthday arrived excellent physical condition really beautiful piece hardware however immediately realized battery charging issue basically would fully charge safemode safemode would quickly run activity unfortunately appears common issue samsung phones updating android oreo made sure apps date recalibrated battery meter implemented battery saving measures pointed samsung address issue samsung community no joy many posts concerning issue hope samsung finds fix soon otherwise great phonefortunately seller buyspry responsive refunded purchase means remedy exhausted not fault seller issue even brand new phones
1.0 out of 5 stars,not bother buying one these obviously not inspect properly able notice obvious screen defect withing hours owning phone caught never tried pass anyone first day got noticed top screen lighter bottom not notice already transferred data got new sim card figured would try get used instead going trouble getting new phone proved extremely annoying weeks volume button became stuck stuck safe mode infuriating won't able transfer everything new phone whole refurbished journey huge headache greatly regret trusting people actually got look function new
5.0 out of 5 stars,great phone indeed unlocked use ultra sim card issues came plastic wraps charger booklets which didn't read course initial setup mode tip first inserting sim card not insert memory chip hanged put sim chip removed memory card initial setup went ok could insert memory card reading it tip galaxy slot sim card memory chip opened pressing tiny hole don't think special key thin wire stick came phone asked one ultra shop marked verizon know difficult unlock unlocked ok fast delivery ps bought store buyspry
1.0 out of 5 stars,return wasn't actually unlocked full att bloatware well not work republic wireless
1.0 out of 5 stars,bought present sister turned nightmare
4.0 out of 5 stars,real rating would stars could give that used week writing review ad describes looks works like new not quite glass back fine couple obvious scratches home key trim top aren't awful still looks pretty good don't really care pointing discrepancy i'm also little concerned usb port worn doesn't connect properly using couple cables work fine devices pay close attention charging cable get hooked right far not real problem unless gets worse switching phones not effortless they'd like believe i'm att moving get new sim card different size att tech installed free asked initialization procedure seller explains tube stated wasn't necessary would automatically believe since started getting texts calls right away problem was unlocked verizon also started looking updates i'm assuming verizon could longer access effectively blocked functions kept futzing it restarts getting settings could lock finally got working right still not sure how maybe fixed itself used samsung's smart switch transfer data apps worked reasonably well somehow skipped apps compete samsung's bloatware imagine that battery life seems good i'm fairly light user getting couple days charge careful summing up not quite brand new decent enough looking aren't anal took hours work get functioning right actually better worse expected nice money especially compared price new one got years refurbished still works although getting quirky  one lasts long i'll complaints
1.0 out of 5 stars,so not getting charger pair headphones plain cardboard box came in took back jamaica gsm unlocked asks network unlock code meaning not unlocked bought gsm unlocked devices work perfectly jamaica not one requesting unlock code att told this device isn't eligible unlocked payments not paidi want money back deter anyone buying device seller
1.0 out of 5 stars,failed less two months battery losing charge fast screen started flickering started automatically deleting data without user anything cause it
5.0 out of 5 stars,wife's galaxy sbought mine great phone carrier required unlocked gsm phone one it's labeled verizon back booted perfectly got connected router email systems ease days later got sim card installed cell got stuck trying work processand sat spinning said processingplease wait minutes did many timesafter minutes trying several fixes customer service rep thought perhaps factory reset not master reset problem  done everything worked perfectly soshould happen kiss electronicswhen buy one kiss electronics did keep scenario mind  not know kiss electronic's fault samsung's case cell master reset  get cell anything it would suggest master reset suresafe
1.0 out of 5 stars,purchased samsung touted amazon's choice refurbisher thought would get good working order not fraught preexisting conditions first problem saw unpacking glass cover camera broken would take pictures don't take lots pictures decided keep even issue need business didn't want take week delay returning getting another would takethe second problem became quickly apparent didn't change battery refurbishment process even first month using phone could seldom get day charge not huge internet surfer even one spend hour day use keeping emails and millenial standards low level texting read several articles went removed disabled every app could order make sure problem wasn't sort background use battery even that situation continued deteriorate point battery lasting hours got external battery kept connected order able use phone again painfully obvious refurbisher neither change battery even checked see battery shot reselling phonethe final straw now september months purchasing phone display gone completely unuseable spending weekend move stuff old samsung order get business order another phone course warranty protection phone even covering monthsthe bottom line don't buy refurbished amazon phone find lesser expensive afford new phones returned problem amazon simply selling asis unsuspecting customers
2.0 out of 5 stars,purchased refurbished galaxy son's birthday arrived excellent physical condition really beautiful piece hardware however immediately realized battery charging issue basically would fully charge safemode safemode would quickly run activity unfortunately appears common issue samsung phones updating android oreo made sure apps date recalibrated battery meter implemented battery saving measures pointed samsung address issue samsung community no joy many posts concerning issue hope samsung finds fix soon otherwise great phonefortunately seller buyspry responsive refunded purchase means remedy exhausted not fault seller issue even brand new phones
1.0 out of 5 stars,not bother buying one these obviously not inspect properly able notice obvious screen defect withing hours owning phone caught never tried pass anyone first day got noticed top screen lighter bottom not notice already transferred data got new sim card figured would try get used instead going trouble getting new phone proved extremely annoying weeks volume button became stuck stuck safe mode infuriating won't able transfer everything new phone whole refurbished journey huge headache greatly regret trusting people actually got look function new
5.0 out of 5 stars,great phone indeed unlocked use ultra sim card issues came plastic wraps charger booklets which didn't read course initial setup mode tip first inserting sim card not insert memory chip hanged put sim chip removed memory card initial setup went ok could insert memory card reading it tip galaxy slot sim card memory chip opened pressing tiny hole don't think special key thin wire stick came phone asked one ultra shop marked verizon know difficult unlock unlocked ok fast delivery ps bought store buyspry
1.0 out of 5 stars,return wasn't actually unlocked full att bloatware well not work republic wireless
1.0 out of 5 stars,bought present sister turned nightmare
1.0 out of 5 stars,so not getting charger pair headphones plain cardboard box came in took back jamaica gsm unlocked asks network unlock code meaning not unlocked bought gsm unlocked devices work perfectly jamaica not one requesting unlock code att told this device isn't eligible unlocked payments not paidi want money back deter anyone buying device seller
4.0 out of 5 stars,real rating would stars could give that used week writing review ad describes looks works like new not quite glass back fine couple obvious scratches home key trim top aren't awful still looks pretty good don't really care pointing discrepancy i'm also little concerned usb port worn doesn't connect properly using couple cables work fine devices pay close attention charging cable get hooked right far not real problem unless gets worse switching phones not effortless they'd like believe i'm att moving get new sim card different size att tech installed free asked initialization procedure seller explains tube stated wasn't necessary would automatically believe since started getting texts calls right away problem was unlocked verizon also started looking updates i'm assuming verizon could longer access effectively blocked functions kept futzing it restarts getting settings could lock finally got working right still not sure how maybe fixed itself used samsung's smart switch transfer data apps worked reasonably well somehow skipped apps compete samsung's bloatware imagine that battery life seems good i'm fairly light user getting couple days charge careful summing up not quite brand new decent enough looking aren't anal took hours work get functioning right actually better worse expected nice money especially compared price new one got years refurbished still works although getting quirky  one lasts long i'll complaints
1.0 out of 5 stars,failed less two months battery losing charge fast screen started flickering started automatically deleting data without user anything cause it
5.0 out of 5 stars,wife's galaxy sbought mine great phone carrier required unlocked gsm phone one it's labeled verizon back booted perfectly got connected router email systems ease days later got sim card installed cell got stuck trying work processand sat spinning said processingplease wait minutes did many timesafter minutes trying several fixes customer service rep thought perhaps factory reset not master reset problem  done everything worked perfectly soshould happen kiss electronicswhen buy one kiss electronics did keep scenario mind  not know kiss electronic's fault samsung's case cell master reset  get cell anything it would suggest master reset suresafe
1.0 out of 5 stars,purchased samsung touted amazon's choice refurbisher thought would get good working order not fraught preexisting conditions first problem saw unpacking glass cover camera broken would take pictures don't take lots pictures decided keep even issue need business didn't want take week delay returning getting another would takethe second problem became quickly apparent didn't change battery refurbishment process even first month using phone could seldom get day charge not huge internet surfer even one spend hour day use keeping emails and millenial standards low level texting read several articles went removed disabled every app could order make sure problem wasn't sort background use battery even that situation continued deteriorate point battery lasting hours got external battery kept connected order able use phone again painfully obvious refurbisher neither change battery even checked see battery shot reselling phonethe final straw now september months purchasing phone display gone completely unuseable spending weekend move stuff old samsung order get business order another phone course warranty protection phone even covering monthsthe bottom line don't buy refurbished amazon phone find lesser expensive afford new phones returned problem amazon simply selling asis unsuspecting customers
2.0 out of 5 stars,purchased refurbished galaxy son's birthday arrived excellent physical condition really beautiful piece hardware however immediately realized battery charging issue basically would fully charge safemode safemode would quickly run activity unfortunately appears common issue samsung phones updating android oreo made sure apps date recalibrated battery meter implemented battery saving measures pointed samsung address issue samsung community no joy many posts concerning issue hope samsung finds fix soon otherwise great phonefortunately seller buyspry responsive refunded purchase means remedy exhausted not fault seller issue even brand new phones
1.0 out of 5 stars,not bother buying one these obviously not inspect properly able notice obvious screen defect withing hours owning phone caught never tried pass anyone first day got noticed top screen lighter bottom not notice already transferred data got new sim card figured would try get used instead going trouble getting new phone proved extremely annoying weeks volume button became stuck stuck safe mode infuriating won't able transfer everything new phone whole refurbished journey huge headache greatly regret trusting people actually got look function new
1.0 out of 5 stars,so not getting charger pair headphones plain cardboard box came in took back jamaica gsm unlocked asks network unlock code meaning not unlocked bought gsm unlocked devices work perfectly jamaica not one requesting unlock code att told this device isn't eligible unlocked payments not paidi want money back deter anyone buying device seller
5.0 out of 5 stars,great phone indeed unlocked use ultra sim card issues came plastic wraps charger booklets which didn't read course initial setup mode tip first inserting sim card not insert memory chip hanged put sim chip removed memory card initial setup went ok could insert memory card reading it tip galaxy slot sim card memory chip opened pressing tiny hole don't think special key thin wire stick came phone asked one ultra shop marked verizon know difficult unlock unlocked ok fast delivery ps bought store buyspry
1.0 out of 5 stars,return wasn't actually unlocked full att bloatware well not work republic wireless
1.0 out of 5 stars,bought present sister turned nightmare
4.0 out of 5 stars,real rating would stars could give that used week writing review ad describes looks works like new not quite glass back fine couple obvious scratches home key trim top aren't awful still looks pretty good don't really care pointing discrepancy i'm also little concerned usb port worn doesn't connect properly using couple cables work fine devices pay close attention charging cable get hooked right far not real problem unless gets worse switching phones not effortless they'd like believe i'm att moving get new sim card different size att tech installed free asked initialization procedure seller explains tube stated wasn't necessary would automatically believe since started getting texts calls right away problem was unlocked verizon also started looking updates i'm assuming verizon could longer access effectively blocked functions kept futzing it restarts getting settings could lock finally got working right still not sure how maybe fixed itself used samsung's smart switch transfer data apps worked reasonably well somehow skipped apps compete samsung's bloatware imagine that battery life seems good i'm fairly light user getting couple days charge careful summing up not quite brand new decent enough looking aren't anal took hours work get functioning right actually better worse expected nice money especially compared price new one got years refurbished still works although getting quirky  one lasts long i'll complaints
1.0 out of 5 stars,failed less two months battery losing charge fast screen started flickering started automatically deleting data without user anything cause it
5.0 out of 5 stars,wife's galaxy sbought mine great phone carrier required unlocked gsm phone one it's labeled verizon back booted perfectly got connected router email systems ease days later got sim card installed cell got stuck trying work processand sat spinning said processingplease wait minutes did many timesafter minutes trying several fixes customer service rep thought perhaps factory reset not master reset problem  done everything worked perfectly soshould happen kiss electronicswhen buy one kiss electronics did keep scenario mind  not know kiss electronic's fault samsung's case cell master reset  get cell anything it would suggest master reset suresafe
1.0 out of 5 stars,purchased samsung touted amazon's choice refurbisher thought would get good working order not fraught preexisting conditions first problem saw unpacking glass cover camera broken would take pictures don't take lots pictures decided keep even issue need business didn't want take week delay returning getting another would takethe second problem became quickly apparent didn't change battery refurbishment process even first month using phone could seldom get day charge not huge internet surfer even one spend hour day use keeping emails and millenial standards low level texting read several articles went removed disabled every app could order make sure problem wasn't sort background use battery even that situation continued deteriorate point battery lasting hours got external battery kept connected order able use phone again painfully obvious refurbisher neither change battery even checked see battery shot reselling phonethe final straw now september months purchasing phone display gone completely unuseable spending weekend move stuff old samsung order get business order another phone course warranty protection phone even covering monthsthe bottom line don't buy refurbished amazon phone find lesser expensive afford new phones returned problem amazon simply selling asis unsuspecting customers
2.0 out of 5 stars,purchased refurbished galaxy son's birthday arrived excellent physical condition really beautiful piece hardware however immediately realized battery charging issue basically would fully charge safemode safemode would quickly run activity unfortunately appears common issue samsung phones updating android oreo made sure apps date recalibrated battery meter implemented battery saving measures pointed samsung address issue samsung community no joy many posts concerning issue hope samsung finds fix soon otherwise great phonefortunately seller buyspry responsive refunded purchase means remedy exhausted not fault seller issue even brand new phones
1.0 out of 5 stars,not bother buying one these obviously not inspect properly able notice obvious screen defect withing hours owning phone caught never tried pass anyone first day got noticed top screen lighter bottom not notice already transferred data got new sim card figured would try get used instead going trouble getting new phone proved extremely annoying weeks volume button became stuck stuck safe mode infuriating won't able transfer everything new phone whole refurbished journey huge headache greatly regret trusting people actually got look function new
5.0 out of 5 stars,great phone indeed unlocked use ultra sim card issues came plastic wraps charger booklets which didn't read course initial setup mode tip first inserting sim card not insert memory chip hanged put sim chip removed memory card initial setup went ok could insert memory card reading it tip galaxy slot sim card memory chip opened pressing tiny hole don't think special key thin wire stick came phone asked one ultra shop marked verizon know difficult unlock unlocked ok fast delivery ps bought store buyspry
1.0 out of 5 stars,return wasn't actually unlocked full att bloatware well not work republic wireless
1.0 out of 5 stars,bought present sister turned nightmare
4.0 out of 5 stars,real rating would stars could give that used week writing review ad describes looks works like new not quite glass back fine couple obvious scratches home key trim top aren't awful still looks pretty good don't really care pointing discrepancy i'm also little concerned usb port worn doesn't connect properly using couple cables work fine devices pay close attention charging cable get hooked right far not real problem unless gets worse switching phones not effortless they'd like believe i'm att moving get new sim card different size att tech installed free asked initialization procedure seller explains tube stated wasn't necessary would automatically believe since started getting texts calls right away problem was unlocked verizon also started looking updates i'm assuming verizon could longer access effectively blocked functions kept futzing it restarts getting settings could lock finally got working right still not sure how maybe fixed itself used samsung's smart switch transfer data apps worked reasonably well somehow skipped apps compete samsung's bloatware imagine that battery life seems good i'm fairly light user getting couple days charge careful summing up not quite brand new decent enough looking aren't anal took hours work get functioning right actually better worse expected nice money especially compared price new one got years refurbished still works although getting quirky  one lasts long i'll complaints
1.0 out of 5 stars,so not getting charger pair headphones plain cardboard box came in took back jamaica gsm unlocked asks network unlock code meaning not unlocked bought gsm unlocked devices work perfectly jamaica not one requesting unlock code att told this device isn't eligible unlocked payments not paidi want money back deter anyone buying device seller
1.0 out of 5 stars,failed less two months battery losing charge fast screen started flickering started automatically deleting data without user anything cause it
5.0 out of 5 stars,wife's galaxy sbought mine great phone carrier required unlocked gsm phone one it's labeled verizon back booted perfectly got connected router email systems ease days later got sim card installed cell got stuck trying work processand sat spinning said processingplease wait minutes did many timesafter minutes trying several fixes customer service rep thought perhaps factory reset not master reset problem  done everything worked perfectly soshould happen kiss electronicswhen buy one kiss electronics did keep scenario mind  not know kiss electronic's fault samsung's case cell master reset  get cell anything it would suggest master reset suresafe
1.0 out of 5 stars,purchased samsung touted amazon's choice refurbisher thought would get good working order not fraught preexisting conditions first problem saw unpacking glass cover camera broken would take pictures don't take lots pictures decided keep even issue need business didn't want take week delay returning getting another would takethe second problem became quickly apparent didn't change battery refurbishment process even first month using phone could seldom get day charge not huge internet surfer even one spend hour day use keeping emails and millenial standards low level texting read several articles went removed disabled every app could order make sure problem wasn't sort background use battery even that situation continued deteriorate point battery lasting hours got external battery kept connected order able use phone again painfully obvious refurbisher neither change battery even checked see battery shot reselling phonethe final straw now september months purchasing phone display gone completely unuseable spending weekend move stuff old samsung order get business order another phone course warranty protection phone even covering monthsthe bottom line don't buy refurbished amazon phone find lesser expensive afford new phones returned problem amazon simply selling asis unsuspecting customers
2.0 out of 5 stars,purchased refurbished galaxy son's birthday arrived excellent physical condition really beautiful piece hardware however immediately realized battery charging issue basically would fully charge safemode safemode would quickly run activity unfortunately appears common issue samsung phones updating android oreo made sure apps date recalibrated battery meter implemented battery saving measures pointed samsung address issue samsung community no joy many posts concerning issue hope samsung finds fix soon otherwise great phonefortunately seller buyspry responsive refunded purchase means remedy exhausted not fault seller issue even brand new phones
1.0 out of 5 stars,not bother buying one these obviously not inspect properly able notice obvious screen defect withing hours owning phone caught never tried pass anyone first day got noticed top screen lighter bottom not notice already transferred data got new sim card figured would try get used instead going trouble getting new phone proved extremely annoying weeks volume button became stuck stuck safe mode infuriating won't able transfer everything new phone whole refurbished journey huge headache greatly regret trusting people actually got look function new
5.0 out of 5 stars,great phone indeed unlocked use ultra sim card issues came plastic wraps charger booklets which didn't read course initial setup mode tip first inserting sim card not insert memory chip hanged put sim chip removed memory card initial setup went ok could insert memory card reading it tip galaxy slot sim card memory chip opened pressing tiny hole don't think special key thin wire stick came phone asked one ultra shop marked verizon know difficult unlock unlocked ok fast delivery ps bought store buyspry
1.0 out of 5 stars,return wasn't actually unlocked full att bloatware well not work republic wireless
1.0 out of 5 stars,bought present sister turned nightmare
4.0 out of 5 stars,real rating would stars could give that used week writing review ad describes looks works like new not quite glass back fine couple obvious scratches home key trim top aren't awful still looks pretty good don't really care pointing discrepancy i'm also little concerned usb port worn doesn't connect properly using couple cables work fine devices pay close attention charging cable get hooked right far not real problem unless gets worse switching phones not effortless they'd like believe i'm att moving get new sim card different size att tech installed free asked initialization procedure seller explains tube stated wasn't necessary would automatically believe since started getting texts calls right away problem was unlocked verizon also started looking updates i'm assuming verizon could longer access effectively blocked functions kept futzing it restarts getting settings could lock finally got working right still not sure how maybe fixed itself used samsung's smart switch transfer data apps worked reasonably well somehow skipped apps compete samsung's bloatware imagine that battery life seems good i'm fairly light user getting couple days charge careful summing up not quite brand new decent enough looking aren't anal took hours work get functioning right actually better worse expected nice money especially compared price new one got years refurbished still works although getting quirky  one lasts long i'll complaints
1.0 out of 5 stars,so not getting charger pair headphones plain cardboard box came in took back jamaica gsm unlocked asks network unlock code meaning not unlocked bought gsm unlocked devices work perfectly jamaica not one requesting unlock code att told this device isn't eligible unlocked payments not paidi want money back deter anyone buying device seller
1.0 out of 5 stars,failed less two months battery losing charge fast screen started flickering started automatically deleting data without user anything cause it
5.0 out of 5 stars,wife's galaxy sbought mine great phone carrier required unlocked gsm phone one it's labeled verizon back booted perfectly got connected router email systems ease days later got sim card installed cell got stuck trying work processand sat spinning said processingplease wait minutes did many timesafter minutes trying several fixes customer service rep thought perhaps factory reset not master reset problem  done everything worked perfectly soshould happen kiss electronicswhen buy one kiss electronics did keep scenario mind  not know kiss electronic's fault samsung's case cell master reset  get cell anything it would suggest master reset suresafe
1.0 out of 5 stars,purchased samsung touted amazon's choice refurbisher thought would get good working order not fraught preexisting conditions first problem saw unpacking glass cover camera broken would take pictures don't take lots pictures decided keep even issue need business didn't want take week delay returning getting another would takethe second problem became quickly apparent didn't change battery refurbishment process even first month using phone could seldom get day charge not huge internet surfer even one spend hour day use keeping emails and millenial standards low level texting read several articles went removed disabled every app could order make sure problem wasn't sort background use battery even that situation continued deteriorate point battery lasting hours got external battery kept connected order able use phone again painfully obvious refurbisher neither change battery even checked see battery shot reselling phonethe final straw now september months purchasing phone display gone completely unuseable spending weekend move stuff old samsung order get business order another phone course warranty protection phone even covering monthsthe bottom line don't buy refurbished amazon phone find lesser expensive afford new phones returned problem amazon simply selling asis unsuspecting customers
